Blog	too	post	take	to	know	work	are	have	ve	all	while	way	get	m	of	many	ever	show	but	an	some	right	not	much	more	is	since	at	money	online	how	which	two	its	on	don	has	and	here	when	old	time	people	after	year	this	other	read	today	good	who	than	had	one	could	can	big	he	would	as	up	her	back	your	may	i	day	do	just	years	make	use	what	for	used	these	video	re	why	google	because	it	we	from	no	my	still	been	they	us	most	t	were	see	even	by	s	go	story	also	new	our	off	into	now	was	world	about	free	over	best	won	first	out	last	she	apple	well	in	around	d	you	or	any	like	their	me	will	a	so	that	with	there	if	his	made	be	week	the	them	only
TMZ.com	0	0	0	10	2	0	0	2	1	5	3	0	1	2	13	0	2	0	3	6	1	1	6	1	0	9	0	8	1	0	1	1	0	0	16	0	3	16	1	2	3	2	1	2	3	3	1	0	0	1	3	2	0	2	0	0	5	11	1	1	5	5	0	1	0	2	2	0	7	1	0	0	1	13	0	1	2	0	1	0	2	10	5	4	1	0	0	0	0	1	0	8	2	0	0	1	38	2	0	0	0	0	2	0	0	14	1	4	0	0	1	0	1	6	1	10	0	0	21	0	3	3	1	0	2	0	1	0	22	3	4	14	0	2	10	2	1	1	38	0	0
ThinkProgress	0	0	0	18	0	1	2	1	0	0	2	0	0	1	14	0	0	0	0	4	1	0	2	0	0	7	0	3	0	0	0	0	1	0	10	0	3	13	0	0	1	1	0	2	3	2	0	0	0	0	5	1	1	1	1	2	0	4	3	2	0	2	1	0	0	1	0	0	1	1	0	2	0	10	0	0	1	0	2	0	3	6	0	4	2	0	0	1	1	0	0	2	0	0	0	3	9	1	0	0	3	0	2	1	0	2	0	2	0	1	0	0	3	1	1	0	0	1	17	0	0	3	0	1	0	1	0	1	17	0	5	7	1	0	6	1	1	0	34	2	1
Captain's Quarters	1	1	1	22	0	1	0	2	0	0	1	0	0	0	20	0	0	1	1	1	1	0	3	0	3	0	1	5	1	0	1	0	0	3	14	0	7	12	0	2	0	1	0	3	0	1	2	0	2	0	1	2	3	2	0	1	1	6	1	4	1	1	2	0	0	3	2	0	0	2	0	1	0	8	0	0	0	0	0	0	0	2	1	3	1	2	1	2	2	3	0	1	0	0	1	4	4	0	4	2	0	0	1	2	0	1	1	3	0	1	1	0	2	4	0	1	0	1	14	0	0	2	0	0	0	6	2	5	20	0	9	4	0	1	6	0	4	1	50	0	1
Boing Boing	2	0	4	111	3	6	16	12	6	9	4	4	5	4	123	6	0	1	14	12	4	4	5	3	19	31	2	21	1	1	7	5	2	8	27	7	11	103	6	2	5	1	9	12	6	24	5	0	0	4	10	4	8	15	7	13	1	20	11	30	10	18	4	8	3	23	0	5	9	5	4	2	14	28	5	13	4	4	1	3	3	35	7	23	8	9	3	11	22	3	7	18	8	4	2	17	65	1	3	4	8	2	6	12	6	25	4	6	2	3	2	2	3	6	5	10	6	5	70	3	4	16	7	2	10	18	3	5	108	7	64	18	7	9	10	10	24	1	210	7	2
Gothamist	2	1	1	56	0	1	8	4	1	4	1	0	7	0	57	2	4	2	6	8	7	2	1	2	47	12	2	14	2	0	4	4	4	3	39	1	8	79	4	7	12	5	12	9	17	12	2	0	3	2	12	7	5	8	1	6	0	11	1	15	10	4	2	5	0	5	3	5	7	3	3	2	2	26	4	1	1	2	0	0	5	14	9	11	1	2	3	1	3	4	5	5	7	2	0	5	39	0	2	6	22	4	2	3	5	21	1	5	0	8	5	3	3	5	11	2	4	1	47	1	0	11	3	1	4	5	1	2	59	5	20	19	3	2	11	2	3	3	131	2	2
Copyblogger	0	11	3	36	2	3	2	2	1	2	0	0	3	2	8	0	1	1	2	4	1	3	1	0	13	3	0	3	0	0	5	2	1	0	17	4	0	17	0	4	2	4	0	0	0	6	0	10	0	0	1	2	2	3	1	3	3	1	0	6	3	4	0	23	0	10	0	2	0	0	2	0	2	7	0	1	0	1	2	0	0	10	5	2	0	5	0	0	1	2	0	6	1	2	1	1	6	2	1	0	0	2	3	2	1	4	0	6	3	1	0	0	16	2	0	3	0	2	5	0	0	14	1	0	0	2	0	0	19	0	19	12	3	1	0	0	3	3	31	0	0
Wired	0	0	2	21	0	0	10	5	0	0	0	1	0	2	16	0	2	0	4	3	2	2	3	0	1	11	0	1	1	2	4	1	0	4	5	1	1	17	1	0	0	2	2	0	1	1	0	0	0	0	0	1	0	3	4	1	0	1	0	7	1	0	1	7	1	1	2	0	2	1	3	0	3	11	0	6	2	1	2	2	0	13	4	6	0	0	0	2	1	4	1	4	0	0	0	0	16	0	0	1	5	3	1	0	3	1	1	0	1	2	0	0	0	1	0	0	2	0	5	0	0	3	4	1	4	0	1	2	21	2	9	11	1	3	1	0	3	0	47	1	1
Deadspin	0	1	3	33	0	0	3	5	1	0	1	0	2	1	28	2	2	0	6	8	2	2	2	0	26	11	3	5	1	0	3	1	1	1	16	1	5	15	6	2	1	1	0	6	1	4	2	24	5	1	2	3	1	6	0	2	2	5	0	4	2	0	3	4	0	2	6	0	4	1	0	1	3	16	1	1	1	2	2	0	3	15	4	4	3	0	0	1	3	0	1	5	2	1	3	2	34	2	0	1	6	3	4	3	2	4	1	4	0	4	6	2	4	3	1	3	0	0	17	3	0	6	0	0	0	2	2	3	36	1	15	11	3	0	13	1	3	1	59	1	0
Search Engine Roundtable	0	0	0	13	0	0	0	2	0	1	0	0	0	0	7	0	0	1	3	3	2	0	0	0	1	11	0	1	0	0	1	0	1	0	6	0	1	6	5	1	1	0	0	0	0	4	0	0	4	0	0	0	1	0	0	1	2	0	0	1	1	2	0	1	1	3	0	2	1	1	0	0	4	5	0	0	0	0	0	20	0	3	1	1	1	0	0	0	2	0	0	1	1	0	2	0	2	0	0	0	3	0	1	0	3	2	0	3	2	2	0	0	0	1	0	2	0	0	11	1	0	5	3	0	1	4	0	0	10	0	6	2	0	0	2	0	3	0	15	1	0
Engadget RSS Feed	2	1	1	38	1	1	1	5	1	3	2	2	1	0	16	0	1	2	3	4	3	0	3	1	4	9	2	1	0	1	1	1	2	14	10	0	13	26	2	3	0	0	0	2	8	8	0	1	5	3	0	1	2	4	0	4	1	0	1	4	1	0	2	3	5	1	0	0	5	2	2	0	0	18	1	0	2	2	0	5	1	12	0	8	0	1	0	5	3	3	2	5	2	0	1	5	27	1	0	1	12	0	1	2	4	7	3	3	1	2	1	1	5	1	3	1	2	2	20	0	2	6	1	1	3	5	0	9	31	1	16	9	0	1	0	1	8	2	51	0	2
